run_id,simulation_start,gt_degradation_type,gt_target_component,gt_active_severity,target_fault_class,target_fault_idx
BEARING_SEV020,0.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,1.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,2.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,3.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,4.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,5.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,6.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,7.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,8.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,9.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,10.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,11.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,12.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,13.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,14.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,15.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,16.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,17.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,18.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,19.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,20.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,21.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,22.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,23.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,24.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,25.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,26.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,27.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,28.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,29.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,30.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,31.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,32.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,33.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,34.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,35.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,36.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,37.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,38.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,39.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,40.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,41.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,42.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,43.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,44.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,45.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,46.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,47.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,48.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,49.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,50.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,51.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,52.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,53.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,54.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV020,55.0,BEARING,BEARING,0.2,BEARING,3
BEARING_SEV040,0.0,BEARING,BEARING,0.4,BEARING,3
BEARING_SEV040,1.0,BEARING,BEARING,0.4,BEARING,3
BEARING_SEV040,2.0,BEARING,BEARING,0.4,BEARING,3
BEARING_SEV040,3.0,BEARING,BEARING,0.4,BEARING,3
BEARING_SEV040,4.0,BEARING,BEARING,0.4,BEARING,3
BEARING_SEV040,5.0,BEARING,BEARING,0.4,BEARING,3
BEARING_SEV040,6.0,BEARING,BEARING,0.4,BEARING,3
